cuisine,name
Korean,Bukjang Korean Restaurant
Korean,Jang Mo Jib
Vietnamese,Le Petit Saigon
Vietnamese,Bonjour Vietnam Bistro
Japanese,Kiisu
Japanese,Guu Toramasa
Italian,Pasta Timo
Chinese,Dinesty Dumpling House
Pizza,Nicli Antica Pizzeria
Chicken Shop,CM Chicken
Moroccan,Moltaqa Moroccan Restaurant
Bars,Ramson’s Pizzeria And Bar
Filipino,Sangkalan Eatery
Cafes,Guulu Cafe
Donairs,Donair Affair
Vietnamese,Van 168 Coffee
Mexican,Quesada Burritos & Tacos
Cafes,Gathering Cafe
Canadian (New),Browns Socialhouse Lynn Valley
Japanese,Hanamori Sushi
Asian Fusion,Basil Box
Pubs,Six Acres
Taiwanese,A.Bento
Vietnamese,Dang Anh Cafe
Pizza,J Beethoven's Pizza Gourmet
Salad,Kokoro Tokyo Mazesoba
Korean,Gaya Korean Restaurant
Breakfast & Brunch,Medina Cafe
Sushi Bars,Yoshida Sushi
Canadian (New),Cactus Club Cafe
Korean,Kosoo Restaurant
Sandwiches,Big Star Sandwiches
Falafel,Donair Bite
Sushi Bars,Watashi Sushi & Kitchen
Pizza,Pizzeria Ludica
Japanese,Osaka Teppanyaki Steak & Seafood House
Cafes,Chef's Catering & Cafe
Kebab,Aria Afghan Grill & Bar
Hot Pot,Big Way Hot Pot
Mexican,Alimentaria Mexicana
Indian,Chacha's Tandoor & Grill
Korean,Tabom
Asian Fusion,Torafuku
Creperies,Me + Crepe
Canadian (New),Dominion Bar + Kitchen
Indian,Tasty Planet
Chinese,Jin Jiang Shanghai Restaurant
Seafood,Hotpot Palace
American,Denny's
Japanese,Okini Restaurant & Bar
Fish & Chips,The Fish Counter
American,Raglans
Asian Fusion,Jess' Restaurant
Seafood,The Sea House Fish and Chips
Ethiopian,Dahlak Restaurant
Vietnamese,Bánh Mì Très Bon - Richmond
Japanese,Homura Yakiniku
Cafes,Mah Milk Bar
Thai,Green Basil Thai Restaurant
Mexican,Gringo
Middle Eastern,Donair Star
Bistros,Honeybrew
Breakfast & Brunch,Big Flat Pancake
Cocktail Bars,District Bar & Restaurant
Italian,Robba da Matti
Mexican,Los Amigos Taqueria
Chicken Shop,Downlow Chicken Shack
Chinese,Ho Yuen Kee
Breakfast & Brunch,Cora Breakfast & Lunch
Fast Food,Lumbermen's Arch Cafe
Filipino,Cabizerra Bistro
Japanese,Sushi S Japanese Restaurant
Korean,Mumu Kitchen
Chinese,Mr. Ho Wonton House
Chinese,Paramount Chinese Seafood Restaurant
Mediterranean,Barra 41
Hawaiian,Pokey Okey
Chicken Wings,WINGS Burnaby
Mediterranean,Tagine Moroccan Restaurant and Bar
Pizza,Hellcrust Pizza
Delis,Hawkers Delight Deli
Comfort Food,Soup Curry Garaku Richmond
Ramen,Ramen DANBO
Chinese,Chili Dragon Chinese Restaurant
Chinese,Uncle Pu's Sichuan Taste
Desserts,Archer
Japanese,Kaneko Hannosuke
Asian Fusion,Xiang Yuan Qiao
Burgers,Chirpy Hut
Mexican,La Taqueria Pinche Taco Shop
Vietnamese,Tre Viet
"Beer, Wine & Spirits",Great Bear Pub and Liquor Store
Chinese,Shang Noodle House
Thai,Rice & Noodle
Dim Sum,Kam Wai Dim Sum
Pubs,Corner Stone
Burgers,Browns Socialhouse QE Theatre
Noodles,Hokkaido Ramen Santouka
Mexican,Toloache Mexican Kitchen
Tapas/Small Plates,Nammos Estiatorio
Noodles,Grains Fish Noodle
Belgian,Chambar
Vietnamese,Pho Hong Vietnamese Restaurant
Turkish,Istanbul Doner
Hawaiian,Steve's Poké Bar
Thai,Thai New West
Greek,Yianni's Greek Taverna
Gastropubs,H2 Kitchen + Bar
Cocktail Bars,Pourhouse Restaurant
Thai,Mek's Delight
