cuisine,name
Italian,Mrs Vanelli's Pizza & Italian Foods
Seafood,Sandbar Wharf
Sushi Bars,Sushi Mago
Canadian (New),Raymond's Restaurant
Bakeries,Gladiola Bakery & Restaurant
Pizza,The Joint Pizzeria
Fish & Chips,Gosworth Fish & Chips
Vietnamese,Viet Cafe
Indian,Naanwich
Restaurants,Nile River Restaurant
Lawyers,Jordan Bruce
Canadian (New),The Dining Room
Sushi Bars,Umi Sushi Express
Sandwiches,Subway
Sushi Bars,Bento Sushi
Fast Food,McDonald's
Cafes,A Kinder Cup
Cafes,The Blue Carrot Cafe
Taiwanese,Ding Tea
Pizza,Extra Slice Pizzeria
Sandwiches,Subway
Coffee & Tea,The Allenby Coffee Bar
Breakfast & Brunch,Rose Cafe
Pizza,Cosmos Pizza
Bars,Phoenix Bar and Grill
Salad,Niche Grocerant
Coffee & Tea,Good Earth Coffeehouse
Thai,Kwao Thai Restaurant
Fish & Chips,Shag's Fish & Chips
Fast Food,A&W
Sandwiches,Subway
Caterers,Cheryl's Gourmet Pantry
Restaurants,Vintage Wine Bar & Grill
Cafes,Tim Hortons
Fast Food,A&W
Bakeries,Tinapay Atbp.
Restaurants,Three Elves Restaurant
Indian,Curry Point
Pizza,Papa Ji's Pizza
Filipino,Jempoy's Lechon
Sandwiches,Subway
Delis,Fairfield Bakery & Delicatessen
Pizza,Hothouse Pizza
Coffee & Tea,Tim Hortons
Bubble Tea,Marcelos Coffee Shop
Chinese,Manchu Wok
Indian,Caravana's
Irish,O'bean's Irish Music Nights
Fast Food,NYF
Coffee & Tea,Serious Coffee Esquimalt
Burgers,A&W
Mexican,Taco Time
Fast Food,A&W
Pizza,Domino's Pizza
Pizza,Domino's Pizza
Fast Food,Dairy Queen/Orange Julius Treat Ctr
Cafes,BB-Cafe
Soup,Orchard On View Marketplace
Asian Fusion,Sanuk
Pizza,Marzano Pizza
Pizza,Ali Baba Pizza
Fast Food,Dairy Queen Grill & Chill
Pizza,Pizza Hut
Mexican,Toonie Tacos
Indian,Curry Point
Pizza,Pizazz Pizza
Pizza,Villages Pizza
Pizza,All Canadian Pizza
Coffee & Tea,Mayflower Caffe
Chinese,New Village Chinese Food & Fish & Chips
Pizza,Canadian King Pizza
Cafes,Whale Town Coffee
Pizza,Villages Pizza
Mexican,Taco Time
Cafes,MOJO
Japanese,Koya Japan
Restaurants,Estevan Restaurant
Japanese,Edo Japan
Sandwiches,Subway
Sushi Bars,Bento Sushi
Cafes,Tim Hortons
Mexican,Market Cocina
Chinese,Fonbo Chinese Restaurant
Sandwiches,Tim Horton's
Restaurants,Shogun Restaurant
Pizza,Hot House Pizza
Cafes,Colonial Cafe
Ice Cream & Frozen Yogurt,Dairy Queen Grill & Chill
Fast Food,McDonald's
Grocery,For Good Measure
Sandwiches,Subway
Mexican,Mucho Burrito Fresh Mexican Grill
Fast Food,Mystic Market
Sandwiches,Subway
Sushi Bars,Minato Express Sushi
Gas Stations,Petro-Canada
Pizza,Sarpino's Pizzeria
Bars,Fin and Pearl
Pizza,Villages Pizza
Fast Food,McDonald's
Coffee & Tea,Serious Coffee View Royal
Fast Food,New York Fries
Fast Food,McDonald's
Japanese,Kyoto Cafe Japanese Restaurant
Pizza,Panago Pizza
Restaurants,Among Friends Restaurant
Delis,Esquimalt Deli & Restaurant
Pizza,Panago Pizza
Travel Services,Lifestyles Travel
Fast Food,Subway
Pizza,Pizza Hut
Pizza,Second Slice Pizza
Fast Food,DQ Grill & Chill Restaurant
Fast Food,A&W
Cafes,Plowshare Cafe
Pizza,Panago Pizza
Restaurants,Jin Luen Restaurant
Cafes,Sedina Cafe and Lounge
Pizza,Domino's Pizza
Sandwiches,Victoria Sandwich
Hot Dogs,Burger King Restaurant
Fast Food,Dairy Queen Grill & Chill
Pizza,Little Caesars
Pizza,Domino's Pizza
Pizza,Canadian King Pizza
Cafes,Tim Hortons
Pizza,Domino's Pizza
Fast Food,A&W
Fast Food,McDonald's
Fast Food,McDonald's
Fast Food,Wendy's
Pizza,Pizazz Pizza
Thai,Shelbourne Plaza
Coffee & Tea,BiblioCafé
Pizza,Pizza Hut
Sandwiches,Quizno's Classic Subs
Sandwiches,Subway
Cafes,Soda Shop Cafe
Fast Food,McDonald's
Sandwiches,Subway
