city,state,pop,white,black,asian,indigenous,pacific,hispanic,two_pop
New York,New York,1628706,0.6457420799088356,0.17788538876875262,0.12846210427173474,0.011738766849265614,0.0018137097794199812,0.25588350506475693,0.03435795042199145
Newton,Georgia,111744,0.4828089203894616,0.47717998281786944,0.012116981672394044,0.004814576174112257,0.0010828321878579611,0.06087127720504009,0.021996706758304698
Norfolk,Massachusetts,706775,0.7756160022638039,0.08042446323087263,0.1198287998302147,0.0022057939231014114,0.0005150153867921191,0.049656538502352236,0.02140992536521524
Northampton,Pennsylvania,305285,0.8683951062122279,0.0719065790982197,0.03055505511243592,0.004248489116726993,0.001094059649180274,0.14150711630116122,0.023800710811209196
Oakland,Michigan,1257584,0.7527179098970724,0.13943402587819184,0.08152616445501851,0.0032188704690899374,0.00034828687387880255,0.04336728202648889,0.022754742426748433
Oneida,New York,228671,0.8596061590669565,0.0712420901644721,0.041491925080136965,0.0035465800210783176,0.0007040682902510594,0.061586296469600434,0.023409177377105097
Ontario,New York,109777,0.9349681627298979,0.02757408200260528,0.01398289259134427,0.0037712817803365003,0.000455468814050302,0.051140038441567906,0.019248112081765762
Orange,California,3175692,0.7112481311159898,0.021425566459215818,0.21716243262885696,0.010223283618184635,0.0038747460396033368,0.34042690537999276,0.03606584013814942
Oswego,New York,117124,0.9594617670161538,0.0121324408319388,0.006881595573921656,0.004926402786790069,0.00034151839076534274,0.027475154537071823,0.016256275400430314
Palm Beach,Florida,1496770,0.7464881043847752,0.19828764606452562,0.0294460738790863,0.005854606920234906,0.0011491411506109822,0.23355893022976143,0.018774427600766985
Passaic,New Jersey,501826,0.749012605963023,0.14910945228027245,0.057109436338491824,0.014891615819028906,0.002199965725171673,0.42909095981475653,0.02767692387401211
Penobscot,Maine,152148,0.9468017982490733,0.00981281383915661,0.012073770276309908,0.0130990877303678,0.0003614901280332308,0.014696216841496438,0.01785103977705918
Peoria,Illinois,179179,0.7352870593094056,0.18772289163350617,0.04089206882502972,0.0041299482640264765,0.0006585593177771948,0.0505416371338159,0.03130947265025477
Philadelphia,Pennsylvania,1584064,0.44842758878429156,0.43552533230980567,0.07820264837784333,0.008639802432224961,0.0015447608177447376,0.15240861480344228,0.027659867278089775
Pickens,South Carolina,126884,0.886100690394376,0.07198701175877179,0.020010403202925506,0.0029318117335519057,0.00040194193121276126,0.039406071687525614,0.018568140979162068
Pima,Arizona,1047279,0.8481560310098837,0.041893325465324906,0.03349155287177533,0.043732376950172784,0.0024081452984352787,0.37759374531524076,0.030318568404407994
Plymouth,Massachusetts,521202,0.8418521034071244,0.11707361061546195,0.016197174991653907,0.0033959961780653182,0.00134880526168357,0.04170935644913105,0.020132309546010953
Portage,Ohio,162466,0.9081407802247855,0.04791156303472727,0.020644319426833924,0.002154296899043492,0.0004985658537786367,0.019610256915293046,0.02065047456083119
Providence,Rhode Island,638931,0.7790856915691992,0.12498689216832491,0.04602687927178365,0.013863781848118185,0.002735819673798892,0.23884582216233052,0.03330093546877519
Pueblo,Colorado,168424,0.8999192514131003,0.025970170522015865,0.011025744549470385,0.03155726024794566,0.0018168432052439083,0.43181494323849334,0.02971073006222391
