nationality,total_population,total_population_MOE_Appx,percentage
Syria,6230,1937.3711285758511,0.043372754502690646
Taiwan,7717,2156.094302727461,0.053725127848677966
Thailand,6583,1991.474374026761,0.04583031186054775
Turkey,4279,1605.7322542419288,0.029790050805299076
United Arab Emirates,1021,784.4590330454722,0.007108119156861499
Uzbekistan,976,766.9782904448069,0.006794832808126175
Vietnam,23035,3722.861111808657,0.16036780095818282
Yemen,1481,944.7721965282212,0.010310601832822607
Asia,8380,2246.7473114186823,0.058340880053378424
"South Central Asia, n.o.s",1158,835.4286162304608,0.008061902040789047
"Other Asia, n.o.s",1892,1067.832541092605,0.013171950484605247
Bermuda,86,227.678762349914,0.0005987250220275113
Canada,17199,3217.612305202505,0.11973804248664147
Mexico,644788,19210.250322436437,4.488961738407848
Belize,4387,1625.8630755473696,0.030541938042263864
Costa Rica,1552,967.150867826541,0.010804898071938344
El Salvador,12287,2720.1237566865525,0.08554109704246547
Guatemala,25696,3931.6074983808303,0.17889346704673173
Honduras,10023,2456.988531908902,0.0697793127416482
Nicaragua,1616,986.8882022548617,0.011250460879028583
Panama,1542,964.0303889410663,0.010735278883330493
Antigua & Barbuda,34,143.1573462135555,0.0002367052412666905
Bahamas,428,507.913042987196,0.0029797012724159864
Barbados,556,578.8988678243682,0.0038708268865964685
Cuba,8326,2239.501426530706,0.05796493643489603
Dominica,243,382.71348372443896,0.0016917462831707586
Dominican Republic,3677,1488.534970826541,0.025598975651106498
Grenada,131,281.0012028729998,0.000912011370762837
Haiti,4662,1676.0293045239316,0.03245646572897974
Jamaica,7526,2129.2607987950714,0.052395401346268015
St. Kitts-Nevis,12,85.04821002393709,8.354302632942018e-05
St Lucia,147,297.66716173070125,0.001023402072535397
St Vincent & the Grenadines,61,191.7514421445284,0.00042467705050788595
Trinidad & Tobago,1645,995.7028196889394,0.01145235652599135
West Indies,330,445.9910230764255,0.002297433224059055
"Caribbean, n.o.s",262,397.3936738950322,0.001824022741525674
Argentina,4535,1653.0511007752943,0.031572302033660044
Bolivia,1639,993.8855229564645,0.011410585012826638
Brazil,6556,1987.3882901195009,0.04564234005130655
Chile,1866,1060.4711235083291,0.012990940594224837
Colombia,13709,2873.058167347563,0.09544094566250176
Ecuador,16025,3105.997653289121,0.11156474974407986
Guyana,1096,812.7582731577494,0.0076302630714203765
Paraguay,355,462.5757895658943,0.00247148119557868
Peru,7903,2181.907465376306,0.05502004475678397
Uruguay,589,595.8300336546922,0.004100570209002374
Venezuela,4441,1635.8354628706072,0.03091788166074625
South America,636,619.1451879215997,0.00442778039545927
"Americas, n.o.s",370,472.2471321559066,0.0025759099784904553
Algeria,1450,934.8331470337032,0.010094782348138272
Cameroon,1669,1002.9390613238286,0.011619442578650191
Cabo Verde,16,98.20519852296312,0.00011139070177256023
Congo,1986,1094.0334704934996,0.01382637085751904
Egypt,6224,1936.4384354686515,0.04333098298952593
Ethiopia,3995,1551.5479802015782,0.027812865848836132
Eritrea,853,717.0257783939899,0.005938516788249618
Gambia,69,203.93798819016823,0.000480372401394166
Ghana,6706,2009.9834283154005,0.04668662788042431
Ivory Coast,98,243.0446860841634,0.0006822680483569315
Kenya,2322,1182.9499773817577,0.016165575594742805
Liberia,1276,876.9572000239526,0.008883408466361679
Libya,479,537.321688038631,0.003334759134316022
Morocco,2871,1315.3536429644337,0.01998766904931378
Nigeria,17420,3238.190753351957,0.12127662655487495
Rwanda,281,411.5505065008007,0.001956299199880589
Senegal,328,444.6375160080003,0.0022835093863374845
Sierra Leone,149,299.68524382795806,0.0010373259102569672
Somalia,1300,885.1651949006784,0.00905049451902052
South Africa,2931,1329.0240024558768,0.020405384180960877
Sudan,943,753.9014350337801,0.006565089485720268
Tanzania,861,720.3800776203605,0.005994212139135898
Togo,1913,1073.741436653188,0.013318150780681734
Tunisia,172,321.9853094098464,0.0011974500440550225
Uganda,1224,858.9040569414609,0.008521388685600859
Democratic Republic of Congo (Zaire),2461,1217.8357408069874,0.017133282316391923
Zambia,737,666.4935801472761,0.005130934200398556
Zimbabwe,336,450.0271174808887,0.002339204737223765
Africa,5694,1852.194753607113,0.03964116599330987
"Eastern Africa, n.o.s",19,107.01662145311732,0.0001322764583549153
"Northern Africa, n.o.s",95,239.29572824435277,0.0006613822917745765
"Western Africa, n.o.s",1153,833.6232259617755,0.008027092446485121
"Other Africa, n.o.s",920,744.6514309494169,0.006404965351922213
"Eastern Africa, n.o.s",1131,825.6325932456871,0.007873930231547852
Australia,2497,1226.709045178256,0.017383911395380182
Fiji,80,219.59294939356536,0.0005569535088628012
Marshall Islands,18,104.16233457862948,0.00012531453949413026
Micronesia,14,91.86255881153676,9.746686405099021e-05
New Zealand,864,721.6339190900657,0.006015097895718253
Samoa,96,240.55187301213337,0.0006683442106353614
"Other U.S. Island Areas, Oceania, n.o.s",330,445.9910230764255,0.002297433224059055
American Samoa,24,120.27627601052455,0.00016708605265884036
Albania,5640,1843.3965465302465,0.039265222374827484
Austria,2609,1253.9135838506484,0.018163646307788106
Belgium,970,764.6174356417876,0.006753061294961464
Bulgaria,12113,2700.8183290057987,0.08432972316068889
Czechoslovakia,932,749.4918759601807,0.006488508378251634
Denmark,842,712.387915334225,0.005861935680780982
Finland,532,566.2674059026895,0.0037037408339376282
France,4409,1629.9343920282956,0.03069510025720113
Germany,20866,3543.567271420937,0.14526739894914012
Greece,14294,2933.6576175406544,0.09951366819606099
Hungary,2638,1260.86175579963,0.01836554195475087
Iceland,103,249.1676329874776,0.0007170776426608565
Ireland,7703,2154.141407504635,0.053627660984626964
Italy,18491,3336.1192404340586,0.12873284165477572
Netherlands,2931,1329.0246076500398,0.020405384180960877
Norway,591,596.8407804056205,0.004114494046723944
Poland,133052,8908.82228067866,0.9262972282651678
Portugal,662,631.6733306766218,0.00460879028583968
Romania,15293,3034.32393771024,0.10646862513798523
Spain,3278,1405.4768911942674,0.022821170025653276
Sweden,996,774.7963368512796,0.0069340711853418755
Switzerland,888,731.5873740327141,0.006182183948377093
"United Kingdom, n.o.s",9019,2330.779291972659,0.06278954620542006
England,7820,2170.429350933715,0.054442205491338824
Scotland,1646,996.0056346206562,0.011459318444852136
