cuisine,name
Korean,Mama’s Diner
Mediterranean,Cafe FortyOne
Japanese,Dosanko
Japanese,Pepper Lunch
Japanese,Ryuu Japanese Kitchen UBC
Japanese,Kaori Izakaya
Japanese,Sushi Jin
Chinese,Le Tang
Gastropubs,Straight and Marrow
Dim Sum,Jiulong Bistro
Chinese,La Amigo Restaurant
Filipino,Tikim Asian Fusion Restaurant
American,Beanstalk Bistro
Chinese,Baiyulan Shanghai Cuisine
Seafood,Blue Canoe Waterfront Restaurant
Italian,Robba da Matti
Desserts,Excellent Tofu & Snacks
Seafood,Oddfish
Chinese,Mott 32
Food Court,Aberdeen Square Food Court
Canadian (New),ARC Restaurant
Italian,The Farmhouse
Dim Sum,Kam Wai Dim Sum
Vietnamese,Do Chay
Belgian,Chambar
Noodles,Bull King BBQ
Japanese,Kuroki Kaiseki Omakase Kitchen
Spanish,El Mercat
Canadian (New),Botanist
Japanese,Homura Yakiniku
Dim Sum,Sea Fortune Restaurant
Canadian (New),JOEY Burrard
Korean,Zoomak Korean Tavern
Lebanese,Basha
Barbeque,Paramount BBQ
Taiwanese,Typhoon BBT
Desserts,Archer
Food Court,Trio Bistro
Bars,Ramson’s Pizzeria And Bar
Barbeque,Whiskey Six BBQ
Chinese,Meetrice Noodle
Seafood,Word.
Cafes,Davood's Bistro
Bars,Good Co Bar - Steveston
Chicken Shop,Chicko Chicken
Seafood,Joe Fortes Seafood & Chop House
Japanese,Itosugi Kappo Cuisine
Chinese,Shanghai Dumpling King
Chinese,D1 Noodle Restaurant
Japanese,Sapporo Kitchen
Chinese,Bao Bei Chinese Brasserie
Japanese,Noah's Cafe
Portuguese,Barcelos Flame Grilled Chicken
Chinese,Ho Yuen Kee
Dim Sum,Shanghai Dimsum House
Canadian (New),Browns Socialhouse Tsawwassen
Taiwanese,Deer Alley Restaurant
Cantonese,Sanbo Chinese Restaurant
Breakfast & Brunch,Their There
Seafood,Cardero's Restaurant & Marine Pub
Singaporean,Prata Man Restaurant
Chinese,Chicken Winner
Ethiopian,Abyssinia Ethiopian Restaurant
Chicken Shop,CM Chicken
Canadian (New),The Flying Pig - Village
Fish & Chips,The Fish Counter
Filipino,Hapag Ihaw-Ihaw
Japanese,Gyu-Kaku Japanese BBQ
Chinese,Chongqing Family Food
Japanese,Kozu Sushi Pizza
Dim Sum,Long’s Noodle
Taiwanese,Pearl Castle Café
Bagels,Rosemary Rocksalt
Sushi Bars,Otaru Japanese Kitchen
Japanese,Hashi Sushi Japanese Restaurant
Ramen,Zubu
Seafood,The Vancouver Fish Company
Delis,La Grotta Del Formaggio
Middle Eastern,Tamam: Fine Palestinian Cuisine
Japanese,Seto Japanese Restaurant
French,St Lawrence Restaurant
Burgers,Monzo Burger
Thai,Zab Bite
Spanish,España Restaurant
Indian,Ginger Indian Cuisine
Chinese,T-Bay Bistro
Chinese,Xiang Chuan Mansion
Barbeque,Cantonese BBQ Restaurant
African,Arike Restaurant
Hot Dogs,Chung Chun
Sushi Bars,Taco Nori Sushi Tacos
Chinese,Blue Whale House
Fast Food,Chirpyhut Chicken
French,Crepe & Cafe
Seafood,Hestia Kitchen Lab
Japanese,Black Rice Izakaya
Dim Sum,Little Bird Dim Sum
Chinese,RGK BBQ
Mexican,Sal y Limon
Seafood,Oyster Express
Seafood,2gather Seafood
Food Trucks,CanBox 2Go
Asian Fusion,Torafuku
Japanese,Guu Original Thurlow
Seafood,Gyo-O
Taiwanese,Old Street Express
Mexican,The Mexican Antojitos Y Cantina
Coffee & Tea,Yummy Deli and Coffee
Pubs,Legends Pub & Restaurant
Himalayan/Nepalese,Addah
Seafood,Blue Water Cafe
Bakeries,New Town Bakery & Restaurant
Ukrainian,Ukrainian Village
Japanese,Pepper Lunch
Coffee & Tea,Pink Elephant Cafe
Seafood,Papi's Seafood and Oyster Bar
Breakfast & Brunch,Hunnybee
Canadian (New),Riverway Clubhouse Restaurant
Food Court,Shine Valley Lamb Soup
French,Jules French Bistro
Salad,Birdies
Chinese,Wang Shun Ge Grill Fish
Japanese,Takumi Japanese Restaurant
Sushi Bars,M Sushi Bar
Arabic,Arbab Kabab House
Mexican,Monarca
French,Coquette
Beer Bar,CRAFT Beer Market
Chinese,Dumpling King
Vietnamese,Pho Super Bowl Burnaby
Hot Pot,Golden Sichuan Hotpot
Chinese,Wang Shun Ge Restaurant
Taiwanese,RedBeef Noodle Kitchen
Peruvian,El Inka Latin Deli
Pizza,Kinemi's Kitchen
Mediterranean,Hydra Estiatorio
Vietnamese,Pho Fresh
Pizza,Sprezzatura
Delis,Ossie's Deli & Meats
Sushi Bars,Sushi Bar Ajisai
Chinese,iDen & Quan Ju De Beijing Duck House
Dim Sum,Tin Tin Seafood Harbour
Bangladeshi,Holy Smoke
Canadian (New),Curve Lounge
Food Court,Sesame Kitchen
Pubs,Match Eatery & Public House
Halal,Anatolia's Gate Restaurant
Taiwanese,Chef Hung Taiwanese Beef Noodle
Butcher,Newmans Fine Foods
Lebanese,Jamjar Canteen
Ramen,Kokoro Tokyo Mazesoba
Vegetarian,Sprouts
Fish & Chips,Pajo's
Steakhouses,The Victor
Gastropubs,H2 Kitchen + Bar
Steakhouses,Elisa
Chinese,Emperor's Kitchen
Barbeque,Home BBQ
Food Court,Sang's Kitchen
Japanese,Sushi Mura
Bars,Switch
Italian,Claudio's
Japanese,PiDGiN
Seafood,Bamboo Grove
Turkish,Istanbul Doner
Korean,TAKO
Korean,Haru Korean Kitchen
Cafes,Aroom Cafe
Italian,Lupo
Australian,Peaked Pies
Gastropubs,LOCAL Public Eatery Gastown
